standard_ID,element,measured_conc,standard_conc,configuration
NCS DC73301 Rock,Mn,215.78333333333333,463,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,P,33.55,177,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Pb,17.256666666666668,31,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Si,157864.29,340480,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Sr,30.256666666666668,106,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Ti,731.1166666666667,2,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,U,74.75666666666666,156.947,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,V,18.76,24,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Zn,8.548333333333334,28,"Dry, WS 10 x 15 mm"
NCS DC73301 Rock,Zr,64.82,167,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Al,34889.21833333333,99595,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Ca,1523.1916666666666,4288,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Cr,68.585,99,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Cu,8.47,42,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Fe,13907.234999999999,9722,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,K,11253.130000000001,34534,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Mg,2476.3283333333334,12124,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Mn,42.13333333333333,173,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Pb,4.7683333333333335,1.5,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Si,77654.635,276900,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Sr,14.101666666666667,90,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Ti,1110.415,3950,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,U,23.573333333333334,46.348,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,V,81.14666666666666,87,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Zn,10.983333333333333,20,"Dry, WS 10 x 15 mm"
NCS DC73305 Rock,Zr,26.183333333333334,214,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Al,1783.9366666666667,3016,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Ca,80816.61333333333,230848,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Cr,41.403333333333336,246,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Mn,31.453333333333333,35,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,S,70706.46833333334,173600,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Si,883.09,514,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Ti,1605.4666666666667,4916,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,U,8.508333333333333,9.538,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,V,205.77166666666668,560,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Zn,5.713333333333334,32,"Dry, WS 10 x 15 mm"
Titano Gypsum TIG-1,Zr,0.56,80,"Dry, WS 10 x 15 mm"
