standard_ID,element,measured_conc,standard_conc,configuration
NCS DC71306 Rock,Cr,2.9683333333333333,2.6,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Fe,525.85,1329,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,K,17.91166666666667,315,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Mg,43386.775,131498,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Mn,41.155,77,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,P,17.201666666666668,26,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Pb,3.598333333333333,4.44,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Si,1438.74,2899,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Sr,4.835,27,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Ti,35.02,90,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,U,1.11,0.16,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,V,32.233333333333334,21,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Zn,4.556666666666667,11.7,"Wet, WS 10 x 15 mm"
NCS DC71306 Rock,Zr,0.47000000000000003,3,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Ca,3896.57,11078,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Cr,26.53666666666667,5,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Cu,5.016666666666667,3.2,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Fe,3506.555,7204,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,K,14372.803333333333,41591,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Mg,174.4,2533,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Mn,144.05833333333334,463,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Pb,12.208333333333334,31,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Si,102759.96,340480,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Sr,21.206666666666667,106,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Ti,496.35166666666663,2,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,U,62.230000000000004,18.8,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,V,10.113333333333333,24,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Zn,6.773333333333333,28,"Wet, WS 10 x 15 mm"
NCS DC73301 Rock,Zr,45.64666666666667,167,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Ca,1144.07,4288,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Cr,45.105000000000004,99,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Cu,7.7316666666666665,42,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Fe,10678.658333333333,9722,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,K,8349.856666666667,34534,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Mg,1493.1566666666668,12124,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Mn,30.626666666666665,173,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Pb,3.7,1.5,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Si,55922.71166666666,276900,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Sr,10.145,90,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,Ti,829.2766666666666,3950,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,U,22.073333333333334,2.1,"Wet, WS 10 x 15 mm"
NCS DC73305 Rock,V,59.28666666666667,87,"Wet, WS 10 x 15 mm"
