replication,standard_ID,element,concentration,error
standard,NCS DC60116,Al,,
standard,NCS DC60117 Siliceous Sand and Ore,Mg,151,
standard,NCS DC60117 Siliceous Sand and Ore,U,,
standard,NCS DC60117 Siliceous Sand and Ore,Pb,,
standard,NCS DC60117 Siliceous Sand and Ore,Ba,,
standard,NCS DC60117 Siliceous Sand and Ore,Zr,,
standard,NCS DC60117 Siliceous Sand and Ore,Sr,,
standard,NCS DC60117 Siliceous Sand and Ore,Zn,,
standard,NCS DC60117 Siliceous Sand and Ore,Cu,,
standard,NCS DC60117 Siliceous Sand and Ore,Fe,615,
standard,NCS DC60117 Siliceous Sand and Ore,Mn,1936,
standard,NCS DC60117 Siliceous Sand and Ore,Cr,,
standard,NCS DC60117 Siliceous Sand and Ore,V,,
standard,NCS DC60117 Siliceous Sand and Ore,Ti,114,
standard,NCS DC60117 Siliceous Sand and Ore,Ca,672,
standard,NCS DC60117 Siliceous Sand and Ore,K,10460,
standard,NCS DC60117 Siliceous Sand and Ore,S,,
standard,NCS DC60117 Siliceous Sand and Ore,P,41,
standard,NCS DC60117 Siliceous Sand and Ore,Si,441367,
standard,NCS DC60117 Siliceous Sand and Ore,Al,,
standard,NCS DC71306 Rock,Mg,131498,
standard,NCS DC71306 Rock,U,0.16,
standard,NCS DC71306 Rock,Pb,4.44,
standard,NCS DC71306 Rock,Ba,44.3,
standard,NCS DC71306 Rock,Zr,3,
standard,NCS DC71306 Rock,Sr,27,
standard,NCS DC71306 Rock,Zn,11.7,
standard,NCS DC71306 Rock,Cu,,
standard,NCS DC71306 Rock,Fe,1329,
standard,NCS DC71306 Rock,Mn,77,
standard,NCS DC71306 Rock,Cr,2.6,
standard,NCS DC71306 Rock,V,21,
standard,NCS DC71306 Rock,Ti,90,
standard,NCS DC71306 Rock,Ca,214553,
standard,NCS DC71306 Rock,K,315,
standard,NCS DC71306 Rock,S,,
standard,NCS DC71306 Rock,P,26,
standard,NCS DC71306 Rock,Si,2899,
standard,NCS DC71306 Rock,Al,,
standard,NCS DC73301 Rock,Mg,2533,
standard,NCS DC73301 Rock,U,18.8,
standard,NCS DC73301 Rock,Pb,31,
standard,NCS DC73301 Rock,Ba,343,
standard,NCS DC73301 Rock,Zr,167,
standard,NCS DC73301 Rock,Sr,106,
standard,NCS DC73301 Rock,Zn,28,
standard,NCS DC73301 Rock,Cu,3.2,
standard,NCS DC73301 Rock,Fe,7204,
standard,NCS DC73301 Rock,Mn,463,
standard,NCS DC73301 Rock,Cr,5,
standard,NCS DC73301 Rock,V,24,
standard,NCS DC73301 Rock,Ti,2,
standard,NCS DC73301 Rock,Ca,11078,
standard,NCS DC73301 Rock,K,41591,
standard,NCS DC73301 Rock,S,,
standard,NCS DC73301 Rock,P,177,
standard,NCS DC73301 Rock,Si,340480,
standard,NCS DC73301 Rock,Al,,
standard,NCS DC73305 Rock,Mg,12124,302
standard,NCS DC73305 Rock,U,2.1,0.3
standard,NCS DC73305 Rock,Pb,1.5,0.3
standard,NCS DC73305 Rock,Ba,450,29
standard,NCS DC73305 Rock,Zr,214,9
standard,NCS DC73305 Rock,Sr,90,7
standard,NCS DC73305 Rock,Zn,20,2
standard,NCS DC73305 Rock,Cu,42,2
standard,NCS DC73305 Rock,Fe,9722,420
standard,NCS DC73305 Rock,Mn,173,11
standard,NCS DC73305 Rock,Cr,99,6
standard,NCS DC73305 Rock,V,87,4
standard,NCS DC73305 Rock,Ti,3950,130
standard,NCS DC73305 Rock,Ca,4288,286
standard,NCS DC73305 Rock,K,34534,830
standard,NCS DC73305 Rock,S,66,
standard,NCS DC73305 Rock,P,,
standard,NCS DC73305 Rock,Si,276900,748
standard,NCS DC73305 Rock,Al,,
standard,Titano Gypsum TIG-1,Mg,,
standard,Titano Gypsum TIG-1,U,2.5,
standard,Titano Gypsum TIG-1,Pb,,
standard,Titano Gypsum TIG-1,Ba,,
standard,Titano Gypsum TIG-1,Zr,80,
standard,Titano Gypsum TIG-1,Sr,,
standard,Titano Gypsum TIG-1,Zn,32,
standard,Titano Gypsum TIG-1,Cu,,
standard,Titano Gypsum TIG-1,Fe,,
standard,Titano Gypsum TIG-1,Mn,35,
standard,Titano Gypsum TIG-1,Cr,246,
standard,Titano Gypsum TIG-1,V,560,
standard,Titano Gypsum TIG-1,Ti,4916,
standard,Titano Gypsum TIG-1,Ca,230848,
standard,Titano Gypsum TIG-1,K,,
standard,Titano Gypsum TIG-1,S,17370,
standard,Titano Gypsum TIG-1,P,175,
standard,Titano Gypsum TIG-1,Si,514,
standard,Titano Gypsum TIG-1,Al,,
