Exported at 10/05/2024 14:17:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Core ID:,Stare standardy suche 1x15 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comments:,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
XRF Measurement Mode:,He - 15x1mm, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Depth,Depth In Core,Time Stamp,Laser Profiler,XRF Total Live Time,XRF Total Counts,,XRF Elements(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,XRF Oxides(ppm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,mm,Seconds,Beam 1,Beam 2,LE (Value),Mg (Value),Mg (Error),Al (Value),Al (Error),Si (Value),Si (Error),P (Value),P (Error),S (Value),S (Error),K (Value),K (Error),Ca (Value),Ca (Error),Ti (Value),Ti (Error),V (Value),V (Error),Cr (Value),Cr (Error),Mn (Value),Mn (Error),Fe (Value),Fe (Error),Ni (Value),Ni (Error),Cu (Value),Cu (Error),Zn (Value),Zn (Error),As (Value),As (Error),Sr (Value),Sr (Error),Zr (Value),Zr (Error),Mo (Value),Mo (Error),Ba (Value),Ba (Error),Pb (Value),Pb (Error),U (Value),U (Error),LE (Value),MgO (Value),MgO (Error),Al2O3 (Value),Al2O3 (Error),SiO2 (Value),SiO2 (Error),P2O5 (Value),P2O5 (Error),SO3 (Value),SO3 (Error),K2O (Value),K2O (Error),CaO (Value),CaO (Error),TiO2 (Value),TiO2 (Error),V2O5 (Value),V2O5 (Error),Cr2O3 (Value),Cr2O3 (Error),Mn2O3 (Value),Mn2O3 (Error),Fe2O3 (Value),Fe2O3 (Error),NiO (Value),NiO (Error),CuO (Value),CuO (Error),ZnO (Value),ZnO (Error),As2O3 (Value),As2O3 (Error),SrO (Value),SrO (Error),ZrO2 (Value),ZrO2 (Error),MoO2 (Value),MoO2 (Error),BaO (Value),BaO (Error),PbO (Value),PbO (Error),UO2 (Value),UO2 (Error)
NCS DC60113 Gypsum,3.6,10/05/2024 12:35:20,-3.149,14.7,1338190,569995,800221.76,7975.42,2906.13,6526.06,1208.47,18852.22,745.23,0,0,69190.71,1881.65,1177.21,257.53,93010.15,800.5,47.41,48.35,387.81,151.89,272.89,104.9,197.3,70.02,1574.28,156.13,10.43,1.3,140.27,12.01,25.4,6.36,0,0,255.16,17.04,0,0,7.72,12.83,73.48,63.72,43.04,19.84,11.27,13.33,374586.68,13225.45,4819.17,12330.74,2283.35,40331.21,1594.29,0,0,172762.55,4698.29,1418.07,310.22,130140.37,1120.06,79.11,80.68,692.31,271.15,398.85,153.32,283.49,100.61,2250.82,223.23,13.27,1.66,175.59,15.03,31.62,7.92,0,0,301.76,20.15,0,0,10.3,17.11,82.04,71.14,46.36,21.37,12.79,15.12
NCS DC60113 Gypsum,3.7,10/05/2024 12:35:20,-3.098,14.7,1331084,567957,796419.83,11743.75,2898.52,7172.27,1295.29,18948.8,748.96,0,0,68780.07,1871.63,1328.74,275.27,92810.36,799.96,58.43,47.94,471.11,152.83,176.11,88.09,117.8,68.17,1423.83,144.66,12.61,1.4,115.27,8.64,24.77,6.47,0,0,254.71,16.98,0,0,5.57,12.88,74.06,63.62,47.04,20.25,14.87,13.02,380813.52,19474.37,4806.55,13551.74,2447.41,40537.83,1602.29,0,0,171737.21,4673.28,1600.61,331.59,129860.82,1119.31,97.49,79.99,841.03,272.82,257.39,128.75,169.26,97.95,2035.71,206.83,16.05,1.79,144.3,10.82,30.84,8.05,0,0,301.22,20.08,0,0,7.43,17.17,82.68,71.04,50.68,21.81,16.87,14.77
NCS DC60113 Gypsum,3.8,10/05/2024 12:35:20,-3.03,14.8,1319138,568356,805976.12,11070.46,2883.5,7191.57,1293.94,18657.96,736.84,0,0,65301.85,1778.31,1453.34,282.54,87818.25,761.61,55.65,46.63,220.62,144.48,229.32,94.74,141.82,66.02,1358.35,137.71,12.61,1.36,94.05,6.37,25,6.24,0,0,259.02,16.91,0,0,4.97,12.26,66.53,61.53,50.32,19.64,12.19,12.8,363128.57,18357.88,4781.63,13588.19,2444.86,39915.63,1576.35,0,0,163052.44,4440.26,1750.7,340.35,122875.83,1065.65,92.85,77.8,393.84,257.92,335.17,138.46,203.78,94.86,1942.09,196.9,16.05,1.74,117.73,7.98,31.12,7.76,0,0,306.32,20,0,0,6.62,16.35,74.28,68.69,54.2,21.15,13.82,14.52
NCS DC60113 Gypsum,3.9,10/05/2024 12:35:20,-2.938,14.8,1299787,566635,821538.14,10545.33,2875.74,6601.83,1207.06,17680.57,702.58,0,0,60659.83,1654.21,1249.72,255.99,79190.64,697.13,64.23,43.48,360.16,136.26,231.79,91.5,140.74,61.54,1241.64,126.08,10.55,1.24,67.15,3.95,21.8,5.74,0,0,265.51,16.91,2.92,9.84,3,11.46,71.42,57.17,36.97,18,16.06,12.17,335207.53,17487.07,4768.77,12473.91,2280.69,37824.66,1503.06,0,0,151461.76,4130.39,1505.41,308.37,110804.02,975.43,107.17,72.54,642.95,243.26,338.78,133.73,202.23,88.43,1775.22,180.26,13.42,1.58,84.05,4.95,27.14,7.15,0,0,313.99,19.99,3.94,13.3,4.01,15.29,79.74,63.84,39.83,19.39,18.22,13.81
4.01,4,10/05/2024 12:35:20*,-2.937, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4.11,4.1,10/05/2024 12:35:20*,-2.896, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4.21,4.2,10/05/2024 12:35:20*,-2.531, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4.31,4.3,10/05/2024 12:35:20*,0.198, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4.41,4.4,10/05/2024 12:35:20*,-0.919, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4.51,4.5,10/05/2024 12:35:20*,-1.528, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
